City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Koupela,BF,81.25,light rain,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
668,Puerto Del Rosario,ES,73.15,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
670,Pafos,CY,76.78,clear sky,34.7667,32.4167,Elysium Hotel
671,Itarema,BR,79.92,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
672,Sri Aman,MY,71.65,light rain,1.2376,111.4621,Seri Simanggang Hotel
673,Shitanjing,CN,71.29,broken clouds,39.2342,106.3439,Yingbin Hotel
674,Pointe Michel,DM,88.74,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
676,Luancheng,CN,71.76,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
678,Salinas,US,70.41,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
679,Gracac,HR,71.35,clear sky,44.3006,15.8547,"Apartment ""ANA"""
683,Khipro,PK,88.79,overcast clouds,25.8285,69.3772,Wali M Dars Hottle
684,Anloga,GH,74.77,light rain,5.7947,0.8973,Pin Drop Hotel
685,Gazanjyk,TM,81.81,clear sky,39.2446,55.5154,Railway motel
686,Humberto De Campos,BR,80.96,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
688,High Level,CA,72.72,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
692,Sondershausen,DE,78.13,clear sky,51.3667,10.8667,Hotel Thüringer Hof
695,Kibala,TD,76.95,thunderstorm,9.1104,18.3463,Prasant Hotels
